Disease;Description;Precaution_1;Precaution_2;Precaution_3;Precaution_4;Enfermedad;Descripcion;Precaucion_1;Precaucion_2;Precaucion_3;Precaucion_4;Precaucion_5
Hypoglycemia; Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions â€” many rare â€” can cause low blood sugar in people who don't have diabetes.;lie down on side;check in pulse;drink sugary drinks;consult doctor;Hipoglucemia;La hipoglucemia es una condición en la cual el nivel de azúcar (glucosa) en la sangre es más bajo de lo normal. La glucosa es la principal fuente de energía del cuerpo. La hipoglucemia a menudo está relacionada con el tratamiento de la diabetes, pero otros medicamentos y diversas condiciones, muchas de ellas raras, también pueden causar un nivel bajo de azúcar en la sangre en personas que no tienen diabetes.;Consumir carbohidratos de rápida absorción: Tomar jugo de fruta, caramelos o tabletas de glucosa al primer signo de síntomas para elevar rápidamente el nivel de azúcar en sangre.;No saltarse comidas: Comer a intervalos regulares para evitar caídas en los niveles de glucosa, especialmente si se toman medicamentos para la diabetes.;Llevar siempre una fuente de azúcar: Tener a mano algún tipo de azúcar, como caramelos o tabletas de glucosa, para poder actuar rápidamente si aparecen síntomas de hipoglucemia.;Controlar los niveles de glucosa antes de realizar actividad física: Medir el nivel de glucosa antes de ejercitarse y consumir carbohidratos si el nivel está bajo.;Evitar el consumo excesivo de alcohol sin alimentos: Tomar alcohol con alimentos para reducir el riesgo de hipoglucemia, ya que el alcohol puede interferir con el control del azúcar en sangre.
Acne;Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents.;bath twice;avoid fatty spicy food;drink plenty of water;avoid too many products;Acné;El acné vulgar es la formación de comedones, pápulas, pústulas, nódulos y/o quistes como resultado de la obstrucción e inflamación de las unidades pilosebáceas (folículos pilosos y sus glándulas sebáceas asociadas). El acné se desarrolla en el rostro y la parte superior del tronco. Afecta con mayor frecuencia a los adolescentes.;Mantener la piel limpia: Lavar el rostro dos veces al día con un limpiador suave para eliminar el exceso de grasa y prevenir obstrucciones.;No tocar ni reventar los granos: Evitar manipular el acné para prevenir infecciones y reducir el riesgo de cicatrices permanentes.;Usar productos no comedogénicos: Elegir cosméticos y productos para el cuidado de la piel etiquetados como no comedogénicos para evitar la obstrucción de los poros.;Aplicar tratamientos tópicos según lo indicado: Utilizar cremas o geles con ingredientes como peróxido de benzoilo o ácido salicílico bajo la recomendación de un dermatólogo.;Evitar la exposición prolongada al sol: Usar protector solar y evitar el sol intenso, ya que algunos tratamientos para el acné pueden aumentar la sensibilidad al sol.
Diabetes;Diabetes is a disease that occurs when your blood glucose, also called blood sugar, is too high. Blood glucose is your main source of energy and comes from the food you eat. Insulin, a hormone made by the pancreas, helps glucose from food get into your cells to be used for energy.;have balanced diet;exercise;consult doctor;follow up;Diabetes;La diabetes es una enfermedad que ocurre cuando el nivel de glucosa en la sangre, también llamada azúcar en la sangre, es demasiado alto. La glucosa es la principal fuente de energía del cuerpo y proviene de los alimentos que consumes. La insulina, una hormona producida por el páncreas, ayuda a que la glucosa de los alimentos ingrese a las células para ser utilizada como energía.;Monitorear regularmente los niveles de glucosa: Controlar el azúcar en sangre varias veces al día para ajustar el tratamiento y prevenir complicaciones.;Seguir una dieta equilibrada: Consumir alimentos ricos en fibra y evitar azúcares refinados para mantener estables los niveles de glucosa en sangre.;Hacer ejercicio regularmente: Realizar actividad física moderada para mejorar la sensibilidad a la insulina y controlar los niveles de azúcar en sangre.;Tomar los medicamentos según lo recetado: Seguir las indicaciones médicas para la insulina o medicamentos orales para mantener el control adecuado de la glucosa.;Asistir a chequeos médicos frecuentes: Realizar visitas regulares al médico para monitorear la salud general y prevenir complicaciones asociadas a la diabetes.
Impetigo;Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts.;soak affected area in warm water;use antibiotics;remove scabs with wet compressed cloth;consult doctor;Impetigo;El impétigo es una infección cutánea común y altamente contagiosa que afecta principalmente a bebés y niños. El impétigo suele aparecer como llagas rojas en el rostro, especialmente alrededor de la nariz y la boca del niño, y en las manos y pies. Las llagas se rompen y desarrollan costras de color miel.;Mantener la zona afectada limpia: Lavar la zona afectada con agua y jabón suave para prevenir la propagación del impétigo a otras partes del cuerpo.;No compartir objetos personales: Evitar compartir toallas, ropa o utensilios personales para reducir el riesgo de transmisión del impétigo.;Cubrir las llagas: Aplicar gasas o vendajes sobre las llagas para evitar el contacto y disminuir el riesgo de propagación del impétigo.;Seguir el tratamiento antibiótico: Usar antibióticos tópicos u orales según las indicaciones del médico para tratar el impétigo.;Evitar rascarse las lesiones: No rascarse las llagas para evitar que empeoren o se infecten aún más.
Hypertension;Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms.;meditation;salt baths;reduce stress;get proper sleep;Hipertensión;La hipertensión (HTA), también conocida como presión arterial alta, es una condición médica a largo plazo en la que la presión arterial en las arterias se mantiene persistentemente elevada. La presión arterial alta generalmente no causa síntomas.;Reducir el consumo de sal: Limitar la ingesta de sal en la dieta para ayudar a controlar la presión arterial alta.;Mantener un peso saludable: Reducir el sobrepeso para disminuir la presión sobre el corazón y mejorar el control de la hipertensión.;Realizar actividad física regularmente: Hacer ejercicio moderado para mejorar la salud cardiovascular y reducir los niveles de presión arterial.;Reducir el estrés: Practicar técnicas de relajación como meditación o yoga para disminuir los niveles de estrés, que pueden afectar la presión arterial.;Monitorear la presión arterial: Controlar la presión arterial en casa de manera regular para evaluar la efectividad del tratamiento.
Peptic ulcer diseae;Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.;avoid fatty spicy food;consume probiotic food;eliminate milk;limit alcohol;Úlcera péptica;La úlcera péptica es una ruptura en el revestimiento interno del estómago, la primera parte del intestino delgado o, a veces, el esófago inferior. Una úlcera en el estómago se llama úlcera gástrica, mientras que una en la primera parte del intestino se denomina úlcera duodenal.;Evitar comidas irritantes: Limitar alimentos picantes, cítricos y grasas que puedan irritar la mucosa gástrica y empeorar los síntomas.;Tomar los medicamentos según lo indicado: Seguir el tratamiento médico recetado para reducir la acidez estomacal y promover la cicatrización de la úlcera.;Evitar el consumo de alcohol y tabaco: Abstenerse de fumar y beber alcohol, ya que ambos factores pueden empeorar las úlceras pépticas.;Comer pequeñas porciones: Realizar varias comidas pequeñas durante el día para evitar sobrecargar el estómago y reducir el riesgo de irritación.;Dormir con la cabecera elevada: Elevar la cabecera de la cama para evitar el reflujo ácido durante la noche y mejorar los síntomas de la úlcera.
Dimorphic hemorrhoids(piles);Hemorrhoids, also spelled haemorrhoids, are vascular structures in the anal canal. In their ... Other names, Haemorrhoids, piles, hemorrhoidal disease .;avoid fatty spicy food;consume witch hazel;warm bath with epsom salt;consume alovera juice;Hemorroides dimórficas;Las hemorroides, también conocidas como almorranas, son estructuras vasculares en el canal anal. En su estado normal, ayudan al control de las heces, pero cuando se inflaman o hinchan, se convierten en una condición dolorosa llamada enfermedad hemorroidal.;Evitar el esfuerzo al defecar: No hacer esfuerzos excesivos para evitar aumentar la presión en las venas del recto y prevenir el empeoramiento de las hemorroides.;Mantener una buena higiene: Limpiar la zona afectada suavemente después de cada evacuación para reducir la irritación y prevenir infecciones.;Aplicar compresas frías: Utilizar compresas frías para reducir la inflamación y aliviar el dolor asociado con las hemorroides.;Utilizar baños de asiento: Hacer baños de asiento en agua tibia durante 15-20 minutos varias veces al día para aliviar el dolor y la inflamación.;Consumir una dieta rica en fibra: Incluir frutas, verduras y granos integrales en la dieta para evitar el estreñimiento y reducir la presión en las hemorroides.
Common Cold;The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.;drink vitamin c rich drinks;take vapour;avoid cold food;keep fever in check;Resfriado común;El resfriado común es una infección viral que afecta la nariz y la garganta (tracto respiratorio superior). Generalmente es inofensivo, aunque puede no parecerlo. Muchos tipos de virus pueden causar un resfriado común.;Descansar adecuadamente: Dormir lo suficiente para permitir que el sistema inmunológico combata el virus del resfriado.;Mantenerse bien hidratado: Beber líquidos calientes como infusiones para aliviar la congestión y mantener la garganta hidratada.;Usar pañuelos desechables: Utilizar pañuelos de un solo uso al toser o estornudar para evitar la transmisión del resfriado.;Evitar cambios bruscos de temperatura: Protegerse del frío y evitar cambios de temperatura que puedan empeorar los síntomas del resfriado.;Tomar descongestionantes si es necesario: Utilizar medicamentos descongestionantes de venta libre para aliviar la congestión nasal según indicación médica.
Chicken pox;Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.;use neem in bathing ;consume neem leaves;take vaccine;avoid public places;Varicela;La varicela es una enfermedad altamente contagiosa causada por el virus de la varicela-zóster (VZV). Puede provocar un sarpullido con picazón y ampollas. El sarpullido aparece primero en el pecho, la espalda y el rostro, y luego se extiende por todo el cuerpo, causando entre 250 y 500 ampollas con picazón.;Evitar el contacto con otras personas: Mantenerse aislado para reducir la propagación del virus de la varicela a personas no inmunizadas.;Aplicar loción de calamina: Utilizar calamina en las erupciones cutáneas para aliviar el picor y la irritación causada por la varicela.;Mantener las uñas cortas: Cortar las uñas para evitar rascarse las erupciones y reducir el riesgo de infecciones secundarias.;Descansar adecuadamente: Mantener reposo durante la fase activa de la varicela para facilitar la recuperación.;Evitar alimentos que puedan irritar las lesiones: No consumir alimentos salados o ácidos que puedan empeorar la irritación de las erupciones de la varicela.
Cervical spondylosis;Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs).;use heating pad or cold pack;exercise;take otc pain reliver;consult doctor;Espondilosis cervical;La espondilosis cervical es un término general para el desgaste relacionado con la edad que afecta los discos de la columna en el cuello. A medida que los discos se deshidratan y encogen, aparecen signos de osteoartritis, incluidos los crecimientos óseos a lo largo de los bordes de los huesos (espolones óseos).;Mantener una buena postura: Practicar una postura correcta para reducir la tensión en el cuello y aliviar el dolor de la espondilosis cervical.;Realizar ejercicios de fisioterapia: Consultar a un fisioterapeuta para realizar ejercicios que fortalezcan el cuello y mejoren la movilidad.;Aplicar compresas calientes o frías: Utilizar compresas para aliviar el dolor y la inflamación en el área del cuello.;Evitar levantar objetos pesados: No cargar objetos que puedan agravar el dolor cervical y empeorar la espondilosis.;Dormir con una almohada adecuada: Usar una almohada que soporte bien el cuello y mantenga la alineación adecuada durante el descanso.
Hyperthyroidism;Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat.;eat healthy;massage;use lemon balm;take radioactive iodine treatment;Hipertiroidismo;El hipertiroidismo (tiroides hiperactiva) ocurre cuando la glándula tiroides produce demasiada hormona tiroxina. El hipertiroidismo puede acelerar el metabolismo del cuerpo, provocando pérdida de peso involuntaria y un ritmo cardíaco rápido o irregular.;Tomar medicamentos antitiroideos: Seguir las indicaciones médicas para reducir la producción excesiva de hormonas tiroideas.;Evitar el consumo de yodo: Limitar la ingesta de alimentos ricos en yodo como algas marinas y mariscos, ya que pueden empeorar el hipertiroidismo.;Controlar el estrés: Practicar técnicas de relajación como el yoga o la meditación para reducir el estrés y minimizar los síntomas.;Realizar chequeos médicos regulares: Asistir a controles periódicos para ajustar el tratamiento del hipertiroidismo según sea necesario.;Evitar el ejercicio intenso: Limitar actividades físicas intensas que puedan agravar los síntomas del hipertiroidismo, como la taquicardia.
Urinary tract infection;Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.;drink plenty of water;increase vitamin c intake;drink cranberry juice;take probiotics;Infección del tracto urinario;Infección del tracto urinario: Una infección en el riñón, uréter, vejiga o uretra. Abreviada como ITU. No todas las personas con una ITU presentan síntomas, pero los síntomas comunes incluyen una necesidad frecuente de orinar y dolor o ardor al hacerlo.;Beber abundante agua: Mantenerse bien hidratado para ayudar a eliminar la bacteria causante de la infección del tracto urinario.;Orinar con frecuencia: No aguantar las ganas de orinar, ya que esto ayuda a reducir la multiplicación de bacterias en la vejiga.;Consumir jugo de arándano: Beber jugo de arándano sin azúcar, ya que puede ayudar a prevenir la adhesión de bacterias a las paredes del tracto urinario.;Tomar el antibiótico según lo indicado: Seguir el tratamiento con antibióticos recetados por el médico para eliminar completamente la infección.;Mantener una buena higiene: Limpiar la zona genital de adelante hacia atrás para evitar la transferencia de bacterias y prevenir la infección.
Varicose veins;A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs.;lie down flat and raise the leg high;use oinments;use vein compression;dont stand still for long;Venas varicosas;Una vena que se ha agrandado y torcido, que a menudo aparece como un vaso sanguíneo abultado y azul que es claramente visible a través de la piel. Las venas varicosas son más comunes en adultos mayores, particularmente en mujeres, y ocurren especialmente en las piernas.;Elevar las piernas regularmente: Mantener las piernas elevadas durante el descanso para mejorar el retorno venoso y reducir la hinchazón.;Usar medias de compresión: Utilizar medias de compresión para mejorar la circulación y reducir el dolor y la hinchazón en las piernas.;Mantener un peso saludable: Bajar de peso si es necesario para reducir la presión sobre las venas y aliviar los síntomas de las varices.;Evitar estar de pie por largos periodos: Tomar descansos regulares para caminar o sentarse, evitando estar de pie durante mucho tiempo.;Realizar actividad física moderada: Caminar o hacer ejercicios suaves para mejorar la circulación sanguínea y reducir el riesgo de complicaciones.
AIDS;Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.;avoid open cuts;wear ppe if possible;consult doctor;follow up;SIDA;El síndrome de inmunodeficiencia adquirida (SIDA) es una condición crónica, potencialmente mortal, causada por el virus de la inmunodeficiencia humana (VIH). Al dañar el sistema inmunológico, el VIH interfiere con la capacidad del cuerpo para combatir infecciones y enfermedades.;Tomar medicamentos antirretrovirales: Seguir el tratamiento antirretroviral para reducir la carga viral y evitar la progresión del SIDA.;Mantener prácticas sexuales seguras: Utilizar preservativos para evitar la transmisión del VIH a otras personas y prevenir nuevas infecciones.;Realizar chequeos médicos regulares: Asistir a controles periódicos para monitorear el estado de salud y ajustar el tratamiento antirretroviral.;Mantener una dieta equilibrada: Consumir alimentos saludables y evitar drogas y alcohol para fortalecer el sistema inmunológico.;Evitar el contacto con sangre infectada: Tomar precauciones en situaciones donde pueda haber contacto con sangre, como primeros auxilios o prácticas médicas.
Paralysis (brain hemorrhage);Intracerebral hemorrhage (ICH) is when blood suddenly bursts into brain tissue, causing damage to your brain. Symptoms usually appear suddenly during ICH. They include headache, weakness, confusion, and paralysis, particularly on one side of your body.;massage;eat healthy;exercise;consult doctor;Parálisis (hemorragia cerebral);La hemorragia intracerebral (HIC) ocurre cuando la sangre estalla repentinamente en el tejido cerebral, causando daño al cerebro. Los síntomas suelen aparecer de forma repentina durante la HIC, incluyendo dolor de cabeza, debilidad, confusión y parálisis, particularmente en un lado del cuerpo.;Consultar al médico de inmediato: Buscar atención médica urgente si se presentan síntomas de hemorragia cerebral, como debilidad repentina o dificultad para hablar.;Rehabilitación temprana: Iniciar la fisioterapia lo antes posible para mejorar la movilidad y prevenir complicaciones en pacientes con parálisis.;Evitar el esfuerzo físico: No realizar actividades que aumenten la presión intracraneal, como levantar objetos pesados o hacer ejercicio intenso.;Controlar la presión arterial: Tomar medicamentos para mantener la presión arterial bajo control y reducir el riesgo de hemorragia cerebral.;Participar en programas de rehabilitación: Seguir las recomendaciones del equipo médico para mejorar la calidad de vida y fomentar la recuperación.
